WhatYouWillDo,WorkingHoursDetails,SalaryRange,WorkingPatternDetails,Overview,JobProfileCategories,WorkingPattern,WYDDayToDayTasks,Title,MaximumHours,SalaryExperienced,Skills,SalaryStarter
"<p>You&rsquo;ll be:</p>
<ul>
    <li>developing and testing new systems to help investigate patients' conditions</li>
    <li>monitoring equipment to make sure it&rsquo;s accurate, safe and well-maintained</li>
    <li>training hospital staff</li>
    <li>planning treatment programmes and explaining procedures to patients</li>
    <li>carrying out procedures and analysing test results</li>
    <li><span style=""line-height: 1.5;"">using computer simulations and mathematical modelling in research and development work</span></li>
</ul>
<p>You&rsquo;ll develop new technology for diagnosis and treatment, covering areas like:</p>
<ul>
    <li>imaging techniques &ndash; to track organ functioning and aid image-guided surgery</li>
    <li>radiation and radio therapies &ndash; calculating dosages for the treatment of cancers</li>
    <li>electronics &ndash; designing instruments to measure or support damaged organs</li>
    <li><span style=""line-height: 1.5;"">laser technology &ndash; to reduce the need for invasive surgery, like breaking up kidney stones or treating eye disorders</span></li>
</ul>
<p>You&rsquo;ll work closely with medical professionals like doctors, radiographers and medical physics technicians.</p>",a week,,on a rota,"Medical physicists are specialists in healthcare science, also known as clinical science.","Healthcare,Science and research",evenings / weekends / bank holidays,"<p>You&rsquo;ll be:</p>
<ul>
    <li>developing and testing new systems to help investigate patients' conditions</li>
    <li>monitoring equipment to make sure it&rsquo;s accurate, safe and well-maintained</li>
    <li>training hospital staff</li>
    <li>planning treatment programmes and explaining procedures to patients</li>
    <li>carrying out procedures and analysing test results</li>
    <li>using computer simulations and mathematical modelling in research and development work</li>
</ul>",Medical physicist,41,50819,"<p>You&rsquo;ll need:</p>
<ul>
    <li>high levels of accuracy and attention to detail</li>
    <li>the ability to concentrate for long periods</li>
    <li>the confidence to take responsibility for decisions</li>
    <li>an enquiring mind and good problem solving skills</li>
</ul>",30401
"<p>Your day-to-day duties could include:</p>
<ul>
    <li>discussing your client's symptoms and their lifestyle </li>
    <li>carrying out a physical examination </li>
    <li>taking blood samples and carrying out other tests </li>
    <li>designing a treatment plan based on the consultation and test results</li>
    <li>advising on diet and lifestyle</li>
    <li>keeping detailed client&nbsp;notes </li>
    <li>seeing clients for follow-up appointments</li>
    <li>referring clients to a GP where necessary</li>
</ul>
<p>You won&rsquo;t diagnose medical conditions or advise clients on symptoms or treatments.</p>",variable,,managing your own hours,"Naturopaths believe in improving their clients' health through natural therapies and education about lifestyle, diet and exercise.","Beauty and wellbeing,Healthcare",in your own business,"<p>Your day-to-day duties could include:</p>
<ul>
    <li>discussing your client's symptoms and their lifestyle </li>
    <li>carrying out a physical examination </li>
    <li>taking blood samples and carrying out other tests </li>
    <li>designing a treatment plan based on the consultation and test results</li>
    <li>advising on diet and lifestyle</li>
    <li>keeping detailed client&nbsp;notes </li>
    <li>seeing clients for follow-up appointments</li>
    <li>referring clients to a GP where necessary</li>
</ul>",Naturopath,39,0,"<p>You&rsquo;ll need:&nbsp;</p>
<ul>
    <li>a non-judgemental attitude </li>
    <li>the ability to build trust and rapport with clients&nbsp;</li>
    <li>analytical thinking and intuition, to help you choose treatments </li>
    <li>motivational skills to encourage people to change their lifestyle </li>
    <li>accurate record keeping skills</li>
</ul>",0
"<p>Your day-to-day duties might include:</p>
<ul>
    <li>setting up, dismantling and maintaining equipment</li>
    <li>making sure areas and facilities are clean</li>
    <li>selling tickets and making reservations</li>
    <li>dealing with enquiries on reception</li>
    <li>selling food and drink</li>
</ul>",a week,,on shifts,Leisure centre assistants help and supervise visitors using leisure centre facilities.,"Retail and sales,Sports and leisure",evenings / weekends / bank holidays,"<p>Your day-to-day duties might include:</p>
<ul>
    <li>setting up, dismantling and maintaining equipment</li>
    <li>making sure areas and facilities are clean</li>
    <li>selling tickets and making reservations</li>
    <li>dealing with enquiries on reception</li>
    <li>selling food and drink</li>
</ul>",Leisure centre assistant,43,20000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>communication skills</li>
    <li>customer service skills</li>
    <li>ability in sport and fitness activities</li>
</ul>",13000
"<p>Your day-to-day duties might include:</p>
<ul>
    <li>assessing the environmental impact of agricultural production methods</li>
    <li>supervising construction projects, like land drainage, reclamation and irrigation</li>
    <li>solving engineering problems, like designing all-terrain vehicles to move over uneven ground in different weather conditions</li>
    <li>testing and installing new equipment, like harvesters, crop sprayers and logging machinery</li>
    <li>using &nbsp;GPS, weather data and computer modelling to advise farmers and businesses on land use</li>
    <li><span style=""line-height: 1.5;"">planning service and repair programmes for machinery</span></li>
</ul>
<p>You may also manage and coordinate sales, marketing and technical support.</p>",a week,,occasionally,"Agricultural engineers build, service and repair agricultural, horticultural and forestry machinery and equipment.","Engineering and maintenance,Environment and land,Manufacturing",evenings / weekends,"<p>Your day-to-day duties might include:</p>
<ul>
    <li>assessing the environmental impact of agricultural production methods</li>
    <li>supervising construction projects, like land drainage, reclamation and irrigation</li>
    <li>solving engineering problems, like designing all-terrain vehicles to move over uneven ground in different weather conditions</li>
    <li>testing and installing new equipment, like harvesters, crop sprayers and logging machinery</li>
    <li>using &nbsp;GPS, weather data and computer modelling to advise farmers and businesses on land use</li>
    <li>planning service and repair programmes for machinery</li>
</ul>",Agricultural engineer,41,40000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>the ability to analyse data</li>
    <li>a creative approach to problem solving</li>
    <li>the ability to prioritise and plan work effectively</li>
    <li>good budgeting skills</li>
    <li>leadership skills</li>
</ul>",25000
"<p>Your work will depend on which area of psychiatry you specialise in. You could work in one of the following areas of psychiatry:</p>
<ul>
    <li>general adult </li>
    <li>old age </li>
    <li>child and adolescent </li>
    <li>learning disability </li>
    <li>medical psychotherapy </li>
    <li>forensic</li>
</ul>
<p>
You'll assess your patient&rsquo;s condition by asking them about their thoughts. You'll also get information from other sources, like their GP, relatives and social workers. You may carry out blood tests or scans to rule out other health conditions.<br />
<br />
Afterwards, you&rsquo;ll:</p>
<ul>
    <li>carry out psychiatric tests </li>
    <li>prescribe medication </li>
    <li>recommend treatments like counselling or cognitive behavioural therapy (CBT) </li>
    <li>suggest practical ways to stay well</li>
</ul>",a week,,on a rota,Psychiatrists are doctors who diagnose and treat patients with mental health problems.,"Healthcare,Science and research",evenings / weekends / bank holidays,"<p>In this role, you could be: </p>
<ul>
    <li>assessing your patient&rsquo;s condition by asking them about their thoughts</li>
    <li>getting information from other sources, like GPs, relatives or social workers</li>
    <li> carrying out blood tests or scans to rule out other health conditions.</li>
    <li>carrying out psychiatric tests </li>
    <li>prescribing medication </li>
    <li>recommending treatments like counselling or cognitive behavioural therapy (CBT) </li>
    <li>suggesting practical ways to stay well</li>
</ul>",Psychiatrist,43,105042,"<p>You&rsquo;ll need:</p>
<ul>
    <li>excellent listening and communication skills </li>
    <li>the ability to put people at ease and inspire trust and confidence </li>
    <li>good investigative skills </li>
    <li>the ability to work under pressure and make well-judged decisions </li>
    <li>leadership and management skills</li>
</ul>",27146
"<p>Your day-to-day duties may include:&nbsp;</p>
<ul>
    <li>managing lock bookings from waterway users approaching the locks</li>
    <li>opening and closing lock gates safely by hand or using a computer</li>
    <li>carrying out general maintenance on lock mechanisms</li>
    <li>opening relief sluices in bad weather or flooding&nbsp;</li>
    <li>clearing rubbish and weeds from the lock</li>
    <li>giving advice to waterway users in person or by radio</li>
    <li>reporting incidents like fly-tipping, poaching and damage to wildlife</li>
    <li>talking to community groups and schools about your work</li>
</ul>",variable,,on shifts,Lock keepers open and close lock gates on canals and rivers to allow leisure and commercial boats to pass through.,"Engineering and maintenance,Transport,Travel and tourism",evenings / weekends / bank holidays,"<p>Your day-to-day duties may include:&nbsp;</p>
<ul>
    <li>managing lock bookings from waterway users approaching the locks</li>
    <li>opening and closing lock gates safely by hand or using a computer</li>
    <li>carrying out general maintenance on lock mechanisms</li>
    <li>opening relief sluices in bad weather or flooding&nbsp;</li>
    <li>clearing rubbish and weeds from the lock</li>
    <li>giving advice to waterway users in person or by radio</li>
    <li>reporting incidents like fly-tipping, poaching and damage to wildlife</li>
    <li>talking to community groups and schools about your work</li>
</ul>",Lock keeper,47,0,"<p>You&rsquo;ll need:</p>
<ul>
    <li>good people skills</li>
    <li>communication skills</li>
    <li>to be reliable and a good timekeeper</li>
</ul>",0
"<p>
You might work in a supermarket, a department store, a garden centre, a small independent shop or one that's part of a chain. You'll be:
</p>
<ul>
    <li>serving and advising customers
    </li>
    <li>
    arranging goods in displays and on shelves
    </li>
    <li>
    rotating and replacing stock
    </li>
    <li>
    promoting extra products
    </li>
    <li>
    taking cash and card payments and making sure the till balances
    </li>
    <li>
    dealing with returns
    </li>
    <li>
    meeting sales targets
    </li>
</ul>",a week,,on a rota,Sales assistants sell products and help customers.,Retail and sales,evenings / weekends / bank holidays,"<p>In this role you could be:</p>
<ul>
    <li>serving and advising customers</li>
    <li>arranging goods in displays and on shelves</li>
    <li>rotating and replacing stock</li>
    <li>promoting extra products</li>
    <li>taking cash and card payments and making sure the till balances</li>
    <li>dealing with returns</li>
    <li>meeting sales targets</li>
</ul>",Sales assistant,41,25000,"<p>
You'll need:
</p>
<ul>
    <li>excellent customer service and communication skills
    </li>
    <li>sales skills
    </li>
    <li>ability to handle cash and change
    </li>
</ul>",11000
"<p>You'll be based in a hospital, health centre, nursing home, GP surgery or fitness centre. You may also visit patients in their own homes.</p>
<p>Examples of day-to-day tasks may include:</p>
<ul>
    <li>helping patients with spine and joint problems</li>
    <li>helping patients recovering from accidents, sports injuries and strokes</li>
    <li>working with children who have mental or physical disabilities</li>
    <li>helping older people with physical problems become more mobile</li>
</ul>
<p>You'll work in areas and departments like paediatrics, outpatients, intensive care, women's health and occupational health. In your work you&rsquo;ll use treatments and techniques like:</p>
<ul>
    <li>physical manipulation and massage</li>
    <li>therapeutic exercise</li>
    <li>electrotherapy</li>
    <li>ultrasound</li>
    <li>acupuncture</li>
    <li>hydrotherapy</li>
</ul>
<p>You'll keep accurate records of patients' treatment and progress. Working closely with other health professionals like nurses, occupational therapists, health visitors and social workers will also be an important part of your role.</p>
<p>
It's important to have a good level of personal fitness as the work can be physically tiring.</p>",a week,,on a rota,"Physiotherapists work with patients to improve their range of movement, and promote health and wellbeing.",Healthcare,9am to 5pm,"<p>Examples of day-to-day tasks may include:</p>
<ul>
    <li>helping patients with spine and joint problems</li>
    <li>helping patients recovering from accidents, sports injuries and strokes</li>
    <li>working with children who have mental or physical disabilities</li>
    <li>helping older people with physical problems become more mobile</li>
</ul>",Physiotherapist,40,43772,"<p>You'll need:</p>
<ul>
    <li>an interest in the human body and how it works</li>
    <li>excellent communication skills for giving instructions and advice</li>
    <li>the ability to be firm yet encouraging when dealing with pain</li>
    <li>patience, sensitivity and tact</li>
    <li>manual skills for manipulation and massage</li>
    <li>team-working skills and the ability to use your initiative</li>
    <li>organisational and administrative skills</li>
</ul>",24214
"<p>
You'll make precision parts for the automotive, power, aerospace and manufacturing industries. You'll work with metals, wood, composites and plastics, and CNC tools, like lathes, cutting machines, drills and presses.</p>
<p>
Your day-to-day tasks could include:
</p>
<ul>
    <li>programming the CNC machine tool with data taken from technical drawings
    </li>
    <li>working out the most efficient order to carry out machining tasks
    </li>
    <li>choosing the right tools for each stage
    </li>
    <li>setting the cutting speeds and tolerance levels
    </li>
    <li>operating the machine
    </li>
    <li>checking the work meets quality and technical standards
    </li>
    <li>maintaining equipment</li>
</ul>",a week,,on shifts,Computer numerically controlled (CNC) machinists  make precision parts for the engineering and manufacturing industries.,"Engineering and maintenance,Manufacturing",evenings / weekends,"<p>Your day-to-day tasks could include:</p>
<ul>
    <li>programming the CNC machine tool with data taken from technical drawings</li>
    <li>working out the most efficient order to carry out machining tasks</li>
    <li>choosing the right tools for each stage</li>
    <li>setting the cutting speeds and tolerance levels</li>
    <li>operating the machine</li>
    <li>checking the work meets quality and technical standards</li>
    <li>maintaining equipment</li>
</ul>",CNC machinist,44,30000,"<p>
You'll need:
</p>
<ul>
    <li>the ability to follow engineering drawings and instructions accurately
    </li>
    <li>excellent practical skills
    </li>
    <li>maths and IT skills</li>
</ul>",15000
"<p>You could work in a gym, health club or leisure centre. </p>
<p>If you're self-employed you could run classes in schools and community centres, or outdoors in a public space like a park. </p>
<p>You could also do a mixture of employed and self-employed work. </p>
<p>Some employers will allow you to use their gym for your private clients in return for unpaid work.</p>
<p>Your day-to-day tasks may include:</p>
<ul>
    <li>assessing people's fitness and creating personal exercise programmes</li>
    <li>demonstrating activities, exercise machines and weights</li>
    <li>helping people exercise safely</li>
    <li>leading group exercise classes like circuit training or aerobics</li>
    <li>giving advice on healthy eating and lifestyle</li>
    <li>keeping records</li>
    <li>following health and safety guidelines and maintaining equipment</li>
    <li>marketing your classes</li>
</ul>",a week,,as customers demand,Fitness instructors organise exercise programmes to improve people's health and fitness.,Sports and leisure,as a contractor / self-employed,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>assessing people's fitness and creating personal exercise programmes</li>
    <li>demonstrating activities, exercise machines and weights</li>
    <li>helping people exercise safely</li>
    <li>leading group exercise classes like circuit training or aerobics</li>
    <li>giving advice on healthy eating and lifestyle</li>
    <li>keeping records</li>
    <li>following health and safety guidelines and maintaining equipment</li>
    <li>marketing your classes</li>
</ul>",Fitness instructor,34,30000,"<p>
You'll need:
</p>
<ul>
    <li>the ability to motivate and inspire people
    </li>
    <li>excellent communication skills
    </li>
    <li>planning and organisational skills</li>
</ul>",14000
"<p>
Your day-to-day tasks may include:
</p>
<ul>
    <li>organising deliveries
    </li>
    <li>making sure the bar is stocked and well maintained
    </li>
    <li>making sure customers are served quickly
    </li>
    <li>running the bar in line with health, safety and legal regulations
    </li>
    <li>recruiting, training and supervising bar staff and kitchen staff
    </li>
    <li>stocktaking
    </li>
    <li>handling wages, book-keeping and accounts
    </li>
    <li>building good relationships with breweries, suppliers and customers
    </li>
    <li>carrying out plans to maximise sales
    </li>
</ul>
<p>
You'll also be responsible for enforcing the law on the sale of alcohol on your premises. You'll need an age identification policy, which your staff must enforce.
</p>
<p>
You could employ a bar manager to carry out some of these duties.
</p>
<p>
Publicans or licensees are often employees of a pub chain or brewery. Leaseholders, tenants and free traders, on the other hand, are business people in their own right.
</p>",variable,,flexibly,Publicans manage licensed premises like pubs and bars.,Hospitality and food,evenings / weekends / bank holidays,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>organising deliveries</li>
    <li>making sure the bar is stocked and well maintained</li>
    <li>making sure customers are served quickly</li>
    <li>running the bar in line with health, safety and legal regulations</li>
    <li>recruiting, training and supervising bar staff and kitchen staff</li>
    <li>stocktaking</li>
    <li>handling wages, book-keeping and accounts</li>
    <li>building good relationships with breweries, suppliers and customers</li>
    <li>carrying out plans to maximise sales</li>
</ul>",Publican,49,50000,"<p>
You need:</p>
<ul>
    <li>leadership skills and the ability to manage staff
    </li>
    <li>good planning and organisational skills
    </li>
    <li>finance and maths skills for handling cash and book-keeping
    </li>
</ul>",20000
"<p>Your day-to-day duties may include:</p>
<ul>
    <li>discussing the client&rsquo;s needs</li>
    <li>giving the client advice on fabrics and patterns</li>
    <li>taking measurements</li>
    <li>changing an existing pattern, or creating a new pattern for the client</li>
    <li>costing the work</li>
    <li>using the pattern to cut out the fabric pieces</li>
    <li>tacking the fabric pieces together for a fitting</li>
    <li>making samples or &lsquo;toiles&rsquo;</li>
    <li>using a sewing machine or sewing by hand</li>
    <li>fitting the garment and making adjustments to create a perfect fit</li>
    <li>keeping your accounts, if self-employed</li>
</ul>",a week,,,"Dressmakers create made-to-measure clothing like dresses, trousers and blouses for their customers.","Creative and media,Manufacturing",weekends,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>discussing the client&rsquo;s needs</li>
    <li>giving the client advice on fabrics and patterns</li>
    <li>taking measurements</li>
    <li>changing an existing pattern, or creating a new pattern for the client</li>
    <li>costing the work</li>
    <li>using the pattern to cut out the fabric pieces</li>
    <li>tacking the fabric pieces together for a fitting</li>
    <li>making samples or &lsquo;toiles&rsquo;</li>
    <li>using a sewing machine or sewing by hand</li>
    <li>fitting the garment and making adjustments to create a perfect fit</li>
    <li>keeping your accounts, if self-employed</li>
</ul>",Dressmaker,38,22000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>excellent practical skills</li>
    <li>to be able to imagine how designs will look and lay out pattern pieces</li>
    <li>an eye for detail and good eyesight</li>
    <li>a tactful approach with customers</li>
    <li>accuracy when taking measurements and making calculations</li>
    <li>colour-normal vision for matching threads and fabrics</li>
</ul>",13500
"<p>Your day-to-day duties could include:</p>
<ul>
    <li>helping to design, build or install production plant equipment</li>
    <li>carrying out laboratory experiments to develop new products<br />
    monitoring production processes</li>
    <li>recording data and making adjustments to machinery</li>
    <li>carrying out maintenance checks and making repairs</li>
    <li>making sure safety procedures are followed</li>
    <li>carrying out quality control checks</li>
</ul>",a week,,on shifts,"Chemical engineering technicians help to research, develop and manufacture plastics, medicines, foods, textiles and fuel.","Engineering and maintenance,Manufacturing,Science and research",evenings / weekends / bank holidays,"<p>Your day-to-day duties could include:</p>
<ul>
    <li>helping to design, build or install production plant equipment</li>
    <li>carrying out laboratory experiments to develop new products</li>
    <li>monitoring production processes</li>
    <li>recording data and making adjustments to machinery</li>
    <li>carrying out maintenance checks and making repairs</li>
    <li>making sure safety procedures are followed</li>
    <li>carrying out quality control checks</li>
</ul>",Chemical engineering technician,42,35000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>chemistry and maths skills</li>
    <li>spoken and written communication skills</li>
    <li>the ability to understand and present scientific data</li>
    <li>excellent IT skills</li>
    <li>problem-solving ability</li>
</ul>",18000
"<p>You&rsquo;ll make sure that animals are well looked after and humanely treated in animal facilities, like:</p>
<ul>
    <li>contract research facilities </li>
    <li>laboratory animal breeders </li>
    <li>medical and veterinary colleges </li>
    <li>pharmaceutical companies </li>
    <li>universities</li>
</ul>
<p>
Your day-to-day duties might include:</p>
<ul>
    <li>providing exercise, food and water </li>
    <li>carrying out regular observations </li>
    <li>making sure that animals are clean, comfortable and behaving as expected </li>
    <li>controlling heating, lighting and humidity </li>
    <li>monitoring weight and growth </li>
    <li>keeping accurate records</li>
</ul>
You may also set up scientific studies, breed animals, and train other animal technicians.",a week,,on a rota,Animal technicians look after animals in laboratories.,"Animal care,Science and research",evenings / weekends / bank holidays,"<p>Your day-to-day duties might include:</p>
<ul>
    <li>providing exercise, food and water </li>
    <li>carrying out regular observations </li>
    <li>making sure that animals are clean, comfortable and behaving as expected </li>
    <li>controlling heating, lighting and humidity </li>
    <li>monitoring weight and growth </li>
    <li>keeping accurate records</li>
</ul>",Animal technician,40,40000,"<p>You'll need:</p>
<ul>
    <li>maths skills </li>
    <li>close attention to detail </li>
    <li>the ability to keep accurate records </li>
    <li>IT skills</li>
</ul>",15000
